text,clean_text,sentiment,intent,topic
@VirginAmerica amazing to me that we can't get any cold air from the vents. #VX358 #noair #worstflightever #roasted #SFOtoBOS,amazing to me that we cant get any cold air from the vents.,Negative,Change,Complaints
@VirginAmerica LAX to EWR - Middle seat on a red eye. Such a noob maneuver. #sendambien #andchexmix,LAX to EWR Middle seat on a red eye. Such a noob maneuver.,Negative,Seating,Flight Seating
"@VirginAmerica hi! I just bked a cool birthday trip with you, but i can't add my elevate no. cause i entered my middle name during Flight Booking Problems 😢","hi! I just bked a cool birthday trip with you, but i cant add my elevate no. cause i entered my middle name during Flight Booking Problems",Negative,Booking,Flight Boarding
@VirginAmerica Are the hours of operation for the Club at SFO that are posted online current?,Are the hours of operation for the Club at SFO that are posted online current?,Positive,Inquiry,Suggestions
"@VirginAmerica help, left expensive headphones on flight 89 IAD to LAX today. Seat 2A. No one answering L&amp;F number at LAX!","help, left expensive headphones on flight 89 IAD to LAX today. Seat 2A. No one answering LampF number at LAX!",Negative,Seating,Flight Seating
"@VirginAmerica awaiting my return phone call, just would prefer to use your online self-service option :(","awaiting my return phone call, just would prefer to use your online selfservice option",Negative,Information,Feedback
@VirginAmerica this is great news!  America could start flights to Hawaii by end of year http://t.co/r8p2Zy3fe4 via @Pacificbiznews,this is great news! America could start flights to Hawaii by end of year via,Positive,Change,Feedback
Nice RT @VirginAmerica: Vibe with the moodlight from takeoff to touchdown. #MoodlitMonday #ScienceBehindTheExperience http://t.co/Y7O0uNxTQP,Nice RT Vibe with the moodlight from takeoff to touchdown.,Positive,Feedback,Feedback
@VirginAmerica Moodlighting is the only way to fly! Best experience EVER! Cool and calming. 💜✈ #MoodlitMonday,Moodlighting is the only way to fly! Best experience EVER! Cool and calming.,Positive,Change,Flight Amenities
"@VirginAmerica @freddieawards Done and done! Best airline around, hands down!","Done and done! Best airline around, hands down!",Positive,Change,Feedback
@VirginAmerica when can I book my flight to Hawaii??,when can I book my flight to Hawaii??,Positive,Inquiry,Flight Booking
@VirginAmerica Your chat support is not working on your site: http://t.co/vhp2GtDWPk,Your chat support is not working on your site,Negative,Support,Customer Service
"@VirginAmerica View of downtown Los Angeles, the Hollywood Sign, and beyond that rain in the mountains! http://t.co/Dw5nf0ibtr","View of downtown Los Angeles, the Hollywood Sign, and beyond that rain in the mountains!",Positive,Information,Feedback
"@VirginAmerica Hey, first time flyer next week - excited! But I'm having a hard time getting my flights added to my Elevate account. Help?","Hey, first time flyer next week excited! But Im having a hard time getting my flights added to my Elevate account. Help?",Positive,Loyalty Programs,Flight Loyalty Programs
@VirginAmerica plz help me win my bid upgrade for my flight 2/27 LAX---&gt;SEA!!!  🍷👍💺✈️,plz help me win my bid upgrade for my flight 227 LAXgtSEA!!!,Positive,Upgrade,Flight Upgrade
@VirginAmerica I have an unused ticket but moved to a new city where you don't fly. How can I fly with you before it expires? #travelhelp,I have an unused ticket but moved to a new city where you dont fly. How can I fly with you before it expires?,Negative,Change,Feedback
@VirginAmerica are flights leaving Dallas for Seattle on time Feb 24?,are flights leaving Dallas for Seattle on time Feb 24?,Negative,Inquiry,Suggestions
@VirginAmerica I'm #elevategold for a good reason: you rock!!,Im for a good reason you rock!!,Positive,Feedback,Feedback
@VirginAmerica  DREAM http://t.co/oA2dRfAoQ2 http://t.co/lWWdAc2kHx,DREAM,Positive,Change,General Inquiry
@VirginAmerica wow this just blew my mind,wow this just blew my mind,Positive,Change,Feedback
@VirginAmerica @ladygaga @carrieunderwood After last night #tribute #SoundOfMusic #Oscars2015 @ladygaga! I think @carrieunderwood agree,After last night ! I think agree,Positive,Feedback,Feedback
@VirginAmerica @ladygaga @carrieunderwood All were entertaining,All were entertaining,Positive,Amenities,Feedback
"@VirginAmerica Is flight 769 on it's way? Was supposed to take off 30 minutes ago. Website still shows ""On Time"" not ""In Flight"". Thanks.",Is flight 769 on its way? Was supposed to take off 30 minutes ago. Website still shows On Time not In Flight. Thanks.,Negative,Inquiry,Flight Status
@VirginAmerica @ladygaga @carrieunderwood Julie Andrews all the way though @ladygaga was very impressive! NO to @Carrieunderwood,Julie Andrews all the way though was very impressive! NO to,Negative,Change,Feedback
@VirginAmerica wish you flew out of Atlanta... Soon?,wish you flew out of Atlanta... Soon?,Negative,Change,Flight Status
@VirginAmerica @ladygaga @carrieunderwood Julie Andrews. Hands down.,Julie Andrews. Hands down.,Positive,Support,Feedback
@VirginAmerica Will flights be leaving Dallas for LA on February 24th?,Will flights be leaving Dallas for LA on February 24th?,Positive,Inquiry,Flight Reschedule
@VirginAmerica hi! i'm so excited about your $99 LGA-&gt;DAL deal- but i've been trying 2 book since last week &amp; the page never loads. thx!,hi! im so excited about your 99 LGAgtDAL deal but ive been trying 2 book since last week amp the page never loads. thx!,Positive,Discounts,Flight Discounts
@VirginAmerica you know it. Need it on my spotify stat #guiltypleasures,you know it. Need it on my spotify stat,Positive,Information,Feedback
@VirginAmerica @ladygaga @carrieunderwood  I'm Lady Gaga!!! She is amazing! 😊,Im Lady Gaga!!! She is amazing!,Positive,Feedback,Feedback
@VirginAmerica @ladygaga @carrieunderwood - Carrie!,Carrie!,Positive,Feedback,Feedback
@VirginAmerica New marketing song? https://t.co/F2LFULCbQ7 let us know what you think?,New marketing song? let us know what you think?,Positive,Promotions,Feedback
@VirginAmerica @ladygaga @carrieunderwood Julie Andrews first but Lady Gaga wow'd me last night. Carrie? Meh.,Julie Andrews first but Lady Gaga wowd me last night. Carrie? Meh.,Negative,Change,Feedback
@VirginAmerica I called a 3-4 weeks ago about adding 3 flights from 2014 to my Elevate...they still haven't shown up...help!,I called a 34 weeks ago about adding 3 flights from 2014 to my Elevate...they still havent shown up...help!,Negative,Complaint,Customer Service
"@VirginAmerica @ladygaga @carrieunderwood all are great , but I have to go with #CarrieUnderwood 😍👌","all are great , but I have to go with",Neutral,Feedback,Suggestions
"@VirginAmerica @LadyGaga @CarrieUnderwood Sorry, Mary Martin had it first!","Sorry, Mary Martin had it first!",Negative,Feedback,Feedback
@VirginAmerica @ladygaga @carrieunderwood  love all three but you really can't beat the classics!,love all three but you really cant beat the classics!,Positive,Feedback,Feedback
@VirginAmerica Flight 0736 DAL to DCA 2/24 2:10pm. Tried to check in could not. Status please.,Flight 0736 DAL to DCA 224 210pm. Tried to check in could not. Status please.,Negative,Check-in,Flight Status
@VirginAmerica heyyyy guyyyys.. been trying to get through for an hour. can someone call me please? :/,heyyyy guyyyys.. been trying to get through for an hour. can someone call me please?,Negative,Information,Feedback
"@VirginAmerica Hi, Virgin! I'm on hold for 40-50 minutes -- are there any earlier flights from LA to NYC tonight; earlier than 11:50pm?","Hi, Virgin! Im on hold for 4050 minutes are there any earlier flights from LA to NYC tonight earlier than 1150pm?",Positive,Inquiry,Customer Service
@VirginAmerica Congrats on winning the @Travelzoo award for Best Deals from an Airline (US) http://t.co/kj1iljaebV,Congrats on winning the award for Best Deals from an Airline US,Positive,Discounts,Flight Discounts
@VirginAmerica everything was fine until you lost my bag,everything was fine until you lost my bag,Negative,Complaint,Baggage Issues
@virginamerica Need to change reservation. Have Virgin credit card. Do I need to modify on phone to waive change fee? Or can I do online?,Need to change reservation. Have Virgin credit card. Do I need to modify on phone to waive change fee? Or can I do online?,Positive,Change,Feedback
@VirginAmerica I emailed your customer service team. Let me know if you need the tracking number.,I emailed your customer service team. Let me know if you need the tracking number.,Positive,Information,Customer Service
"@VirginAmerica hi I just booked a flight but need to add baggage, how can I do this?","hi I just booked a flight but need to add baggage, how can I do this?",Negative,Complaint,Flight Booking
@VirginAmerica your airline is awesome but your lax loft needs to step up its game. $40 for dirty tables and floors? http://t.co/hy0VrfhjHt,your airline is awesome but your lax loft needs to step up its game. 40 for dirty tables and floors?,Negative,Change,Feedback
"@VirginAmerica not worried, it's been a great ride in a new plane with great crew. All airlines should be like this.","not worried, its been a great ride in a new plane with great crew. All airlines should be like this.",Positive,Change,Flight Safety
@VirginAmerica awesome. I flew yall Sat morning. Any way we can correct my bill ?,awesome. I flew yall Sat morning. Any way we can correct my bill ?,Positive,Reschedule,Flight Status
"@VirginAmerica Or watch some of the best student films in the country at 35,000 feet! #CMFat35000feet http://t.co/KEK5pDMGiF","Or watch some of the best student films in the country at 35,000 feet!",Positive,Information,Flight Seating
@VirginAmerica first time flying you all. do you have a different rate/policy for media Bags? Thanks,first time flying you all. do you have a different ratepolicy for media Bags? Thanks,Positive,Change,Baggage Issues
@VirginAmerica what is going on with customer service? Is there anyway to speak to a human asap? Thank you.,what is going on with customer service? Is there anyway to speak to a human asap? Thank you.,Negative,Inquiry,Customer Service
@VirginAmerica what happened to Doom?!,what happened to Doom?!,Negative,Complaint,General Inquiry
@VirginAmerica why can't you supp the biz traveler like @SouthwestAir  and have customer service like @JetBlue #neverflyvirginforbusiness,why cant you supp the biz traveler like and have customer service like,Negative,Inquiry,Customer Service
@VirginAmerica I've applied more then once to be a member of the #inflight crew team...Im 100% interested. #flightattendant #dreampath -G,Ive applied more then once to be a member of the crew team...Im 100 interested. G,Positive,Inquiry,Feedback
@VirginAmerica you're the best!! Whenever I (begrudgingly) use any other airline I'm delayed and Late Flight :(,youre the best!! Whenever I begrudgingly use any other airline Im delayed and Late Flight,Positive,Change,Flight Delay
@VirginAmerica I have no interesting flying with you after this. I will Cancelled Flight my next four flights I planned.#neverflyvirginforbusiness,I have no interesting flying with you after this. I will Cancelled Flight my next four flights I planned.,Negative,Cancellation,Flight Cancellation
@VirginAmerica it was a disappointing experience which will be shared with every business traveler I meet. #neverflyvirgin,it was a disappointing experience which will be shared with every business traveler I meet.,Negative,Complaint,Feedback
@VirginAmerica I’m having trouble adding this flight my wife booked to my Elevate account. Help? http://t.co/pX8hQOKS3R,Im having trouble adding this flight my wife booked to my Elevate account. Help?,Negative,Information,Flight Loyalty Programs
@VirginAmerica Can't bring up my reservation online using Flight Booking Problems code,Cant bring up my reservation online using Flight Booking Problems code,Negative,Complaint,Flight Booking
@VirginAmerica Random Q: what's the distribution of elevate avatars? I bet that kitty has a disproportionate share http://t.co/APtZpuROp4,Random Q whats the distribution of elevate avatars? I bet that kitty has a disproportionate share,Neutral,Inquiry,General Inquiry
@VirginAmerica I &lt;3 Flying VA But Life happens and I am trying to #change my trip JPERHI  Can you help.VA home page will not let me ?,I lt3 Flying VA But Life happens and I am trying to my trip JPERHI Can you help.VA home page will not let me ?,Negative,Inquiry,Flight Status
@VirginAmerica Why is the site down?  When will it be back up?,Why is the site down? When will it be back up?,Neutral,Inquiry,General Inquiry
"@VirginAmerica ""You down with RNP?"" ""Yeah you know me!""",You down with RNP? Yeah you know me!,Negative,Reschedule,Refund Request
"@VirginAmerica hi, i did not get points on my elevate account for my most recent flight, how do i add the flight and points to my account?","hi, i did not get points on my elevate account for my most recent flight, how do i add the flight and points to my account?",Negative,Information,Feedback
@VirginAmerica I like the TV and interesting video . Just disappointed in Cancelled Flightled flight when other flights went out to jfk on Saturday .,I like the TV and interesting video . Just disappointed in Cancelled Flightled flight when other flights went out to jfk on Saturday .,Negative,Cancellation,Flight Cancellation
"@VirginAmerica just landed in LAX, an hour after I should of been here. Your no Late Flight bag check is not business travel friendly #nomorevirgin","just landed in LAX, an hour after I should of been here. Your no Late Flight bag check is not business travel friendly",Negative,Complaint,Baggage Issues
@VirginAmerica why is flight 345 redirected?,why is flight 345 redirected?,Negative,Reschedule,Flight Change
"@VirginAmerica Is it me, or is your website down?  BTW, your new website isn't a great user experience.  Time for another redesign.","Is it me, or is your website down? BTW, your new website isnt a great user experience. Time for another redesign.",Negative,Inquiry,General Inquiry
@VirginAmerica I can't check in or add a bag. Your website isn't working. I've tried both desktop and mobile http://t.co/AvyqdMpi1Y,I cant check in or add a bag. Your website isnt working. Ive tried both desktop and mobile,Negative,Check-in,Baggage Issues
@VirginAmerica - Let 2 scanned in passengers leave the plane than told someone to remove their bag from 1st class bin? #uncomfortable,Let 2 scanned in passengers leave the plane than told someone to remove their bag from 1st class bin?,Negative,Security,Suggestions
@virginamerica What is your phone number. I can't find who to call about a flight reservation.,What is your phone number. I cant find who to call about a flight reservation.,Negative,Information,Flight Seating
@VirginAmerica is anyone doing anything there today?  Website is useless and no one is answering the phone.,is anyone doing anything there today? Website is useless and no one is answering the phone.,Negative,Inquiry,General Inquiry
@VirginAmerica trying to add my boy Prince to my ressie. SF this Thursday @VirginAmerica from LAX http://t.co/GsB2J3c4gM,trying to add my boy Prince to my ressie. SF this Thursday from LAX,Positive,Reschedule,Flight Reschedule
@VirginAmerica why must a traveler miss a flight to Late Flight check a bag?  I missed my morning appointments and you lost my business. #sfo2lax,why must a traveler miss a flight to Late Flight check a bag? I missed my morning appointments and you lost my business.,Negative,Complaint,Baggage Issues
@VirginAmerica check out new music http://t.co/maRcnOCWzn,check out new music,Positive,Check-in,Feedback
@virginamerica how's a direct flight FLL-&gt;SFO have unexpected layover in Vegas 4 fuel yet peeps next to me bought for Vegas flight. #sneaky,hows a direct flight FLLgtSFO have unexpected layover in Vegas 4 fuel yet peeps next to me bought for Vegas flight.,Negative,Information,Flight Reschedule
@VirginAmerica your no Late Flight bag check just lost you my business. I missed flight and AM apt. Three other people on flight had same exp.,your no Late Flight bag check just lost you my business. I missed flight and AM apt. Three other people on flight had same exp.,Negative,Complaint,Baggage Issues
"@VirginAmerica - amazing customer  service, again! 💕💕 RaeAnn in SF - she's the best! #customerservice #virginamerica #flying","amazing customer service, again! RaeAnn in SF shes the best!",Positive,Change,Customer Service
@VirginAmerica called your service line and was hung up on. This is awesome. #sarcasm,called your service line and was hung up on. This is awesome.,Positive,Complaint,Customer Service
@VirginAmerica your site is tripping. I'm trying to check in and I'm getting the plain text version. I am reluctant to enter any card info.,your site is tripping. Im trying to check in and Im getting the plain text version. I am reluctant to enter any card info.,Negative,Check-in,General Inquiry
@VirginAmerica I was scheduled for SFO 2 DAL flight 714 today. Changed to 24th due weather. Looks like flight still on?,I was scheduled for SFO 2 DAL flight 714 today. Changed to 24th due weather. Looks like flight still on?,Negative,Change,Flight Change
"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/tZZJhuIbCH #CheapFlights #FareCompare","has getaway deals through May, from 59 oneway. Lots of cool cities",Positive,Discounts,Flight Discounts
"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/RPdBpX3wNd #CheapFlights #FareCompare","has getaway deals through May, from 59 oneway. Lots of cool cities",Positive,Discounts,Flight Discounts
"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/B2Xi4YG5T8 #CheapFlights #FareCompare","has getaway deals through May, from 59 oneway. Lots of cool cities",Positive,Discounts,Flight Discounts
"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/QDlJHslOI5 #CheapFlights #FareCompare","has getaway deals through May, from 59 oneway. Lots of cool cities",Positive,Discounts,Flight Discounts
@VirginAmerica Have a great week 🌞✈,Have a great week,Positive,Change,Feedback
@VirginAmerica come back to #PHL already. We need you to take us out of this horrible cold. #pleasecomeback http://t.co/gLXFwP6nQH,come back to already. We need you to take us out of this horrible cold.,Negative,Reschedule,Suggestions
"@VirginAmerica should I be concerned that I am about to fly on a plane that needs to be delayed due to a ""tech stop""?",should I be concerned that I am about to fly on a plane that needs to be delayed due to a tech stop?,Negative,Inquiry,Suggestions
"@VirginAmerica is the best airline I have flown on.Easy to change your reservation,helpful representatives &amp; a comfortable flying experience","is the best airline I have flown on.Easy to change your reservation,helpful representatives amp a comfortable flying experience",Positive,Change,Customer Service
@VirginAmerica and again! Another rep kicked butt! Naelah represents your team so beautifully!! Thank you!!!,and again! Another rep kicked butt! Naelah represents your team so beautifully!! Thank you!!!,Positive,Feedback,Feedback
@VirginAmerica your beautiful front-end design is down right now; but it was cool to still book my ticket b/c all your back-end was secure.,your beautiful frontend design is down right now but it was cool to still book my ticket bc all your backend was secure.,Positive,Security,Flight Boarding
"@VirginAmerica Love the team running Gate E9 at LAS tonight. Waited for a delayed flight, and they kept things entertaining","Love the team running Gate E9 at LAS tonight. Waited for a delayed flight, and they kept things entertaining",Positive,Reschedule,Flight Delay
@VirginAmerica Use another browser! 2015 &amp; a brand with a reputation built on tech response doesn't have a cross-browser compatible website?,Use another browser! 2015 amp a brand with a reputation built on tech response doesnt have a crossbrowser compatible website?,Negative,Inquiry,General Inquiry
"@VirginAmerica And now the flight Flight Booking Problems site is totally down. Folks, what is the problem?","And now the flight Flight Booking Problems site is totally down. Folks, what is the problem?",Negative,Booking,Flight Booking
@VirginAmerica I like the customer service but a 40 min delay just for connecting passengers seems too long. VA370,I like the customer service but a 40 min delay just for connecting passengers seems too long. VA370,Negative,Change,Customer Service
@VirginAmerica thanks to your outstanding NYC-JFK crew who moved mountains to get me home to San Francisco tonight!,thanks to your outstanding NYCJFK crew who moved mountains to get me home to San Francisco tonight!,Positive,Support,Flight Reschedule
@VirginAmerica you have the absolute best team and customer service ever.  Every time I fly with you I'm delighted.  Thank you!,you have the absolute best team and customer service ever. Every time I fly with you Im delighted. Thank you!,Positive,Change,Customer Service
"@VirginAmerica Do you provide complimentary upgrades to first class, if there are available seats?","Do you provide complimentary upgrades to first class, if there are available seats?",Positive,Inquiry,Suggestions
@VirginAmerica i need to change my flight thats scheduled in 9 hours and 120 min wait time on phone. Im calling intern. Help!!,i need to change my flight thats scheduled in 9 hours and 120 min wait time on phone. Im calling intern. Help!!,Negative,Reschedule,Flight Change
@VirginAmerica completely awesome experience last month BOS-LAS nonstop. Thanks for such an awesome flight and depart time. #VAbeatsJblue,completely awesome experience last month BOSLAS nonstop. Thanks for such an awesome flight and depart time.,Positive,Feedback,Feedback
@VirginAmerica How can I watch the #Oscars2015 on my JFK-&gt;SFO flight?,How can I watch the on my JFKgtSFO flight?,Positive,Information,Flight Status
@VirginAmerica is flight 882 Cancelled Flightled and what do I do if it is?,is flight 882 Cancelled Flightled and what do I do if it is?,Negative,Cancellation,Flight Cancellation
@VirginAmerica you are failing your customers because your check in process does not link to TSA pre-check.,you are failing your customers because your check in process does not link to TSA precheck.,Negative,Check-in,Complaints
@VirginAmerica @FiDiFamilies us too! Terrible airline! Just gave us a hotel hotline number and said sorry,us too! Terrible airline! Just gave us a hotel hotline number and said sorry,Negative,Complaint,Customer Service
@VirginAmerica has flight number 276 from SFO to Cabo San Lucas arrived yet?,has flight number 276 from SFO to Cabo San Lucas arrived yet?,Positive,Inquiry,Flight Status
@VirginAmerica @ChrysiChrysic your assistance yesterday when u Cancelled Flightled our flight was to give us a hotel hotline  Shame on you!,your assistance yesterday when u Cancelled Flightled our flight was to give us a hotel hotline Shame on you!,Negative,Cancellation,Flight Cancellation
@VirginAmerica Another delayed flight? #likingyoulessandless,Another delayed flight?,Negative,Reschedule,Flight Delay
@VirginAmerica I need to register a service dog for a first class ticket from SFO &gt; Dulles. The phone queue is an hour or longer. Pls advise,I need to register a service dog for a first class ticket from SFO gt Dulles. The phone queue is an hour or longer. Pls advise,Negative,Information,Flight Seating
@virginamerica you ROCK for making it so I can watch #Oscars on my flight!! #redcarpet #oscars #oscars2015,you ROCK for making it so I can watch on my flight!!,Positive,Support,Feedback
"@VirginAmerica, @reallytallchris dropped a track on you... https://t.co/zv2pt6TRK9",", dropped a track on you...",Positive,Cancellation,Feedback
@VirginAmerica always!!! Xoxo,always!!! Xoxo,Positive,Feedback,Feedback
@VirginAmerica why can't we book seats on your flights when we buy them or even during check in? Creates so much anxiety! #frustrated,why cant we book seats on your flights when we buy them or even during check in? Creates so much anxiety!,Negative,Seating,Flight Seating
@VirginAmerica You'd think paying an extra $100 bucks RT for luggage might afford you hiring an extra hand at @sfo #lame,Youd think paying an extra 100 bucks RT for luggage might afford you hiring an extra hand at,Negative,Refund,Baggage Issues
@VirginAmerica best customer service rep in the world! #irmafromDallas takes the cake!!!,best customer service rep in the world! takes the cake!!!,Positive,Change,Customer Service
@VirginAmerica Can you find us a flt out of LAX that is sooner than midnight on Monday? That would be great customer service 😃,Can you find us a flt out of LAX that is sooner than midnight on Monday? That would be great customer service,Positive,Reschedule,Customer Service
@VirginAmerica please provide status for flight 769.  I cant imagine it's on time as the Web indicates  dude to weather here and/or Dallas,please provide status for flight 769. I cant imagine its on time as the Web indicates dude to weather here andor Dallas,Neutral,Information,Flight Status
@VirginAmerica you have amazing staff &amp; super helpful as I just ran the @WaltDisneyWorld #PrincessHalf they have spoiled me with comfort!!!,you have amazing staff amp super helpful as I just ran the they have spoiled me with comfort!!!,Positive,Support,Feedback
"@VirginAmerica I paid the premium to fly you across the country, you Cancelled Flight my flight and offer no check fee or upgrade love? Sad face :(","I paid the premium to fly you across the country, you Cancelled Flight my flight and offer no check fee or upgrade love? Sad face",Negative,Cancellation,Flight Cancellation
@VirginAmerica question: is it not possible to book a seat for an infant under 2? It's not giving me the option but we want a seat for him.,question is it not possible to book a seat for an infant under 2? Its not giving me the option but we want a seat for him.,Negative,Inquiry,Feedback
Always have it together!!! You're welcome! RT @VirginAmerica: @jessicajaymes You're so welcome.,Always have it together!!! Youre welcome! RT Youre so welcome.,Positive,Feedback,Feedback
@virginamerica #flight home to #dc #sunset #globe in' #backtowinter back to #work! #refreshed http://t.co/VX9vBCTdLf,home to in back to !,Positive,Change,Feedback
.@VirginAmerica I don't understand why you need a DM to give me an answer on if you have a damaged luggage policy.,. I dont understand why you need a DM to give me an answer on if you have a damaged luggage policy.,Negative,Policies,Baggage Issues
.@VirginAmerica does that mean you don't have a policy for destroyed luggage?,. does that mean you dont have a policy for destroyed luggage?,Negative,Policies,Baggage Issues
@VirginAmerica is there special assistance if I travel alone w/2 kids and 1 infant? Priority boarding?,is there special assistance if I travel alone w2 kids and 1 infant? Priority boarding?,Positive,Inquiry,Suggestions
@VirginAmerica thank you for checking in. tickets are purchased and customer is happy ;-),thank you for checking in. tickets are purchased and customer is happy,Positive,Check-in,Feedback
@VirginAmerica is your website ever coming back online?,is your website ever coming back online?,Negative,Inquiry,General Inquiry
"@VirginAmerica  - Is Flight 713 from Love Field to SFO definitely Cancelled Flightled for Monday, February 23?","Is Flight 713 from Love Field to SFO definitely Cancelled Flightled for Monday, February 23?",Negative,Cancellation,Flight Cancellation
@VirginAmerica Is flight 0769 out of LGA to DFW on time?,Is flight 0769 out of LGA to DFW on time?,Negative,Inquiry,Flight Status
@VirginAmerica my drivers license is expired by a little over a month. Can I fly Friday morning using my expired license?,my drivers license is expired by a little over a month. Can I fly Friday morning using my expired license?,Positive,Inquiry,Flight Reschedule
@VirginAmerica having problems Flight Booking Problems on the web site. keeps giving me an error and to contact by phone.  phone is 30 minute wait.,having problems Flight Booking Problems on the web site. keeps giving me an error and to contact by phone. phone is 30 minute wait.,Negative,Booking,Flight Booking
@VirginAmerica How do I reschedule my Cancelled Flightled flights online? The change button is greyed out!,How do I reschedule my Cancelled Flightled flights online? The change button is greyed out!,Negative,Cancellation,Flight Cancellation
"@VirginAmerica I rang, but there is a wait for 35 minutes!! I can book the same ticket through a vendor, fix your site","I rang, but there is a wait for 35 minutes!! I can book the same ticket through a vendor, fix your site",Negative,Complaint,Customer Service
"@VirginAmerica got a flight (we were told) for 4:50 today..,checked my email and its for 4;50 TOMORROW. This is unacceptable.","got a flight we were told for 450 today..,checked my email and its for 450 TOMORROW. This is unacceptable.",Negative,Complaint,Flight Status
